Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -V -result-matrix "weka.experiment.ResultMatrixPlainText -mean-prec 2 -stddev-prec 2 -col-name-width 0 -row-name-width 25 -mean-width 2 -stddev-width 2 -sig-width 1 -count-width 5 -show-stddev -print-col-names -print-row-names -enum-col-names"
Analysing:  Percent_correct
Datasets:   14
Resultsets: 3
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       17/10/23, 11:13 pm


Dataset                   (1) sklearn.ScikitL | (2) meta.XGBoost (3) meta.LogitBo
---------------------------------------------------------------------------------
balance-scale-weka.filter(100)    92.83(2.68) |    95.87(2.42) v    88.46(3.81) *
wisconsin-breast-cancer-w(100)    96.14(2.25) |    96.61(2.08)      95.40(2.28)
pima_diabetes-weka.filter(100)    73.34(5.10) |    75.75(4.61)      74.29(5.06)
ecoli-weka.filters.unsupe(100)    96.07(3.14) |    95.95(3.32)      94.56(3.67)
Glass-weka.filters.unsupe(100)    83.22(6.70) |    80.29(7.28)      76.47(9.63) *
ionosphere-weka.filters.u(100)    93.14(4.05) |    92.74(4.24)      90.86(4.77)
iris-weka.filters.unsuper(100)   100.00(0.00) |   100.00(0.00)     100.00(0.00)
optdigits-weka.filters.un(100)    99.26(0.36) |    99.04(0.40) *    98.87(0.43) *
pendigits-weka.filters.un(100)    99.75(0.15) |    99.53(0.21) *    99.48(0.22) *
segment-weka.filters.unsu(100)    99.67(0.35) |    99.53(0.48)      99.55(0.42)
sonar-weka.filters.unsupe(100)    85.82(8.63) |    82.56(8.07)      73.37(8.75) *
vehicle-weka.filters.unsu(100)    98.44(1.27) |    98.09(1.45)      97.39(1.51) *
'vowel-weka.filters.unsup(100)    99.41(0.81) |    99.00(0.92)      98.88(1.22)
waveform-weka.filters.uns(100)    88.89(1.29) |    88.42(1.38)      85.92(1.44) *
---------------------------------------------------------------------------------
                                      (v/ /*) |         (1/11/2)          (0/7/7)


Key:
(1) sklearn.ScikitLearnClassifier '-batch 100 -learner XGBClassifier -py-command python3 -py-path default -server-name none' -6212485658537766900
(2) meta.XGBoost '-S 1 -I 100 -W rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5' -7904453909409311700
(3) meta.LogitBoost '-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0' -1105660358715833730


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
