Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -V -result-matrix "weka.experiment.ResultMatrixPlainText -mean-prec 2 -stddev-prec 2 -col-name-width 0 -row-name-width 25 -mean-width 3 -stddev-width 2 -sig-width 1 -count-width 5 -show-stddev -print-col-names -print-row-names -enum-col-names"
Analysing:  Root_relative_squared_error
Datasets:   14
Resultsets: 3
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       18/10/23, 10:18 am


Dataset                   (1) sklearn.ScikitLe | (2) meta.XGBoost  (3) meta.Additive
------------------------------------------------------------------------------------
2dplanes                 (100)    23.12( 0.36) |    24.04( 0.46) v    25.61( 0.44) v
bank8FM                  (100)    20.51( 0.75) |    34.79( 1.54) v    25.17( 0.90) v
cpu_act                  (100)    13.04( 2.06) |    17.04( 1.43) v    17.09( 2.07) v
cpu_small                (100)    15.26( 1.82) |    18.70( 1.54) v    19.56( 2.13) v
delta_ailerons           (100)    56.51( 2.08) |   100.00( 0.02) v    59.36( 2.29) v
delta_elevators          (100)    60.57( 1.40) |   100.00( 0.02) v    63.46( 1.58) v
diabetes_numeric         (100)   107.21(55.73) |    91.49(33.79)      97.49(37.95)
kin8nm                   (100)    48.13( 1.58) |    74.11( 1.45) v    69.67( 2.55) v
machine_cpu              (100)    36.01(10.16) |    36.34(13.00)      52.83(20.23) v
puma8NH                  (100)    59.56( 1.56) |    59.39( 1.51)      60.55( 1.88) v
pyrim                    (100)    74.67(38.07) |   100.23( 2.24)      96.77(14.27)
stock                    (100)    12.75( 1.54) |    20.13( 2.62) v    17.98( 3.38) v
triazines                (100)    80.09(20.30) |   100.08( 0.86) v    96.31(16.17) v
wisconsin                (100)   106.28(13.11) |   113.84(16.13)     103.44(10.98)
------------------------------------------------------------------------------------
                                       (v/ /*) |           (9/5/0)          (11/3/0)


Key:
(1) sklearn.ScikitLearnClassifier '-batch 100 -learner XGBRegressor -py-command python3 -py-path default -server-name none' -6212485658537766900
(2) meta.XGBoost '-S 1 -I 100 -W rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5' -7904453909409311700
(3) meta.AdditiveRegression '-S 1.0 -I 10 -W trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0' -2368937577670527000

